Case_ID,Date,Agent_ID,Department,Resolution_Type,AHT_Min,Resolved,AI_Conversion,Attendance_Rate,Revenue
98,2025-01-19,A1026,Premiere Pro,Shared Self-Help Article,22.73,1,0,97.10750655019196,38.82
99,2025-01-01,A1000,InDesign,Remote Support,21.45,1,1,93.35307836598892,25.12
100,2025-01-23,A1027,InDesign,Remote Support,20.25,1,0,93.33730896665882,40.95
101,2025-01-12,A1009,Acrobat,In Progress,14.34,1,0,92.55179873900553,17.77
102,2025-01-14,A1028,Photoshop,Shared Self-Help Article,19.32,1,0,99.57417652568188,39.82
103,2025-01-09,A1004,Photoshop,Remote Support,19.71,1,1,95.88888757292847,48.21
104,2025-01-08,A1009,Photoshop,In Progress,17.41,0,1,94.85556123786645,20.1
105,2025-01-27,A1027,Photoshop,In Progress,20.61,1,0,94.06211500788196,36.22
106,2025-01-31,A1007,InDesign,Shared Self-Help Article,23.44,0,0,90.34873713826597,33.64
107,2025-01-29,A1029,InDesign,Shared Self-Help Article,30.85,1,1,96.32001700987662,11.36
108,2025-01-11,A1001,InDesign,Shared Self-Help Article,22.29,1,0,96.17503063755271,18.19
109,2025-01-03,A1006,Illustrator,In Progress,22.71,0,0,94.532645495123,46.53
110,2025-01-13,A1026,Photoshop,In Progress,21.05,0,1,96.20819604266701,22.28
111,2025-01-17,A1019,Photoshop,Remote Support,11.83,0,1,96.54631725728468,36.42
112,2025-01-10,A1009,Acrobat,Shared Self-Help Article,21.29,1,1,90.50048129218541,18.88
113,2025-01-03,A1028,Acrobat,In Progress,21.72,0,1,99.42977209322316,13.93
114,2025-01-11,A1027,Premiere Pro,Remote Support,33.74,1,1,97.6394211803889,15.22
115,2025-01-09,A1028,Acrobat,In Progress,20.46,1,1,92.8125683800111,45.64
116,2025-01-01,A1026,Acrobat,In Progress,22.93,0,1,96.1359242447529,21.36
117,2025-01-28,A1009,Acrobat,In Progress,21.25,1,1,93.10947042701318,42.19
118,2025-01-06,A1025,Photoshop,Shared Self-Help Article,15.58,0,1,91.17274435290621,10.06
119,2025-01-15,A1007,Acrobat,Shared Self-Help Article,27.13,0,1,95.79248837730898,39.21
120,2025-01-15,A1025,InDesign,In Progress,25.18,1,0,98.21888776639445,29.42
121,2025-01-19,A1002,Photoshop,Shared Self-Help Article,25.38,0,0,90.34291632641131,28.99
122,2025-01-19,A1009,Premiere Pro,In Progress,16.87,0,1,91.55099487500783,42.78
123,2025-01-20,A1028,Acrobat,Remote Support,28.43,0,0,99.70760775087973,37.44
124,2025-01-28,A1008,Acrobat,In Progress,14.41,1,0,96.30304925528996,36.63
125,2025-01-09,A1007,Illustrator,Shared Self-Help Article,24.35,0,0,95.7205130819396,36.89
126,2025-01-10,A1029,Premiere Pro,In Progress,32.37,1,0,98.86908764802466,45.79
127,2025-01-17,A1027,InDesign,In Progress,16.47,1,0,93.08704562226711,37.8
128,2025-01-15,A1013,Illustrator,Shared Self-Help Article,18.59,1,1,95.3497482920192,33.1
129,2025-01-15,A1019,Premiere Pro,Remote Support,21.92,1,0,96.90468523825474,12.33
130,2025-01-03,A1019,Acrobat,Remote Support,18.9,0,0,99.31035336929,48.95
131,2025-01-20,A1020,Illustrator,Shared Self-Help Article,13.67,0,0,91.48013958018204,32.32
132,2025-01-10,A1000,Premiere Pro,Remote Support,21.76,1,0,96.42620108288071,18.51
133,2025-01-24,A1029,Premiere Pro,In Progress,16.11,0,1,94.42086906945535,35.29
134,2025-01-07,A1007,Photoshop,Remote Support,23.79,1,0,93.71135096196318,43.92
135,2025-01-02,A1024,Illustrator,In Progress,16.82,1,1,95.31396299699625,23.92
136,2025-01-17,A1001,Illustrator,Shared Self-Help Article,29.17,0,1,92.70301196654538,48.28
137,2025-01-15,A1008,Photoshop,Remote Support,17.5,0,1,98.74504491663316,47.89
138,2025-01-22,A1027,Acrobat,Remote Support,19.81,1,0,97.90638067189826,44.67
139,2025-01-14,A1023,InDesign,Shared Self-Help Article,25.49,1,0,94.66386870453563,28.65
140,2025-01-17,A1027,Premiere Pro,In Progress,15.27,0,0,99.36721140331116,38.47
141,2025-01-26,A1008,Photoshop,In Progress,22.56,0,0,90.24752995129182,43.7
142,2025-01-14,A1001,Photoshop,In Progress,27.96,0,1,97.00077852383427,16.37
143,2025-01-31,A1026,InDesign,Remote Support,13.38,1,0,97.39649900506635,46.65
144,2025-01-19,A1006,InDesign,Remote Support,22.34,1,0,97.79749337166314,24.06
145,2025-01-31,A1018,Illustrator,Remote Support,22.72,0,0,94.39025476528829,18.26
146,2025-01-28,A1018,InDesign,Shared Self-Help Article,25.33,1,1,92.77532612959652,27.7
147,2025-01-19,A1009,InDesign,Remote Support,15.24,0,0,94.12187683981917,31.51
148,2025-01-30,A1015,Premiere Pro,Remote Support,14.82,0,0,99.19283735934654,40.73
149,2025-01-31,A1014,Acrobat,Remote Support,24.03,0,1,96.28211664464293,38.07
150,2025-01-13,A1023,Premiere Pro,In Progress,22.9,0,1,91.93920986566964,19.49
151,2025-01-10,A1002,Acrobat,Shared Self-Help Article,22.67,1,1,96.07029960105426,21.81
152,2025-01-10,A1028,Acrobat,Shared Self-Help Article,23.15,0,0,95.83882767897562,37.95
153,2025-01-04,A1002,Acrobat,Remote Support,18.02,1,1,90.22656769498919,27.7
154,2025-01-11,A1009,InDesign,Shared Self-Help Article,22.58,0,1,90.34000601876429,23.32
155,2025-01-21,A1020,Acrobat,Remote Support,22.89,0,0,99.88252596318252,30.69
156,2025-01-12,A1003,Photoshop,Shared Self-Help Article,17.85,0,1,97.41965069241019,32.8
157,2025-01-11,A1002,Photoshop,Shared Self-Help Article,30.75,1,0,99.51366440453515,10.0
158,2025-01-26,A1006,Photoshop,In Progress,23.79,1,1,97.17339943698363,49.48
159,2025-01-08,A1003,Illustrator,In Progress,15.46,0,0,96.07861855369508,26.21
160,2025-01-20,A1020,Premiere Pro,In Progress,24.7,1,1,97.99189334982758,15.3
161,2025-01-05,A1017,Illustrator,Remote Support,16.55,1,1,93.39263123870236,35.37
162,2025-01-11,A1010,Acrobat,Shared Self-Help Article,25.36,0,0,99.93582019256806,43.82
163,2025-01-25,A1009,Illustrator,In Progress,27.21,0,0,97.13767601244368,19.11
164,2025-01-12,A1002,Illustrator,Shared Self-Help Article,17.32,0,0,96.96573891388235,17.07
165,2025-01-14,A1007,Photoshop,In Progress,26.24,0,1,96.29123961698106,21.71
166,2025-01-02,A1011,Photoshop,Remote Support,23.48,0,1,95.65966281141084,46.31
167,2025-01-17,A1028,Illustrator,Remote Support,25.53,0,0,93.69247088833646,19.93
168,2025-01-12,A1011,Illustrator,Shared Self-Help Article,30.9,0,0,94.96993341755062,43.28
169,2025-01-06,A1025,Premiere Pro,Remote Support,20.19,1,1,95.12419892672978,17.54
170,2025-01-30,A1008,Premiere Pro,Shared Self-Help Article,17.65,1,1,91.25400245106844,22.99
171,2025-01-19,A1008,Premiere Pro,Shared Self-Help Article,16.97,0,0,98.50419824949626,11.96
172,2025-01-24,A1020,Acrobat,Shared Self-Help Article,17.34,0,1,95.32137568591664,41.33
173,2025-01-06,A1004,Photoshop,In Progress,21.03,0,1,94.75505307771533,45.03
174,2025-01-31,A1000,InDesign,Remote Support,23.13,0,0,96.42111989762579,13.9
175,2025-01-25,A1001,Premiere Pro,In Progress,22.8,0,0,94.7892922383637,40.71
176,2025-01-21,A1021,InDesign,Remote Support,25.56,1,0,97.67954450548497,21.04
177,2025-01-15,A1001,Illustrator,In Progress,21.49,1,1,92.2967766202973,10.39
178,2025-01-22,A1028,InDesign,Shared Self-Help Article,28.69,0,0,90.70319974972443,37.3
179,2025-01-07,A1000,Acrobat,In Progress,20.1,1,0,96.10818171241094,40.62
180,2025-01-16,A1026,Premiere Pro,Shared Self-Help Article,35.02,1,0,93.67580676292725,23.43
181,2025-01-02,A1011,Photoshop,Shared Self-Help Article,24.55,1,0,91.46806033544992,45.15
182,2025-01-27,A1012,InDesign,Remote Support,17.13,1,0,96.60789755573083,34.44
183,2025-01-02,A1005,Premiere Pro,Shared Self-Help Article,16.07,0,0,92.23967056173447,39.26
184,2025-01-13,A1014,Illustrator,In Progress,23.83,0,0,94.57553802054542,49.02
185,2025-01-09,A1028,Illustrator,In Progress,20.3,0,1,93.968753032282,10.59
186,2025-01-04,A1011,Acrobat,Shared Self-Help Article,24.99,1,1,90.05888169427868,14.67
187,2025-01-21,A1013,Photoshop,Remote Support,23.79,1,0,95.93056649471154,37.23
188,2025-01-19,A1020,Premiere Pro,In Progress,21.06,1,0,94.37519972879518,32.12
189,2025-01-03,A1028,Illustrator,Shared Self-Help Article,17.19,0,1,93.29032617268288,43.63
190,2025-01-01,A1015,InDesign,In Progress,13.85,1,1,96.61325662998404,43.56
191,2025-01-21,A1011,Photoshop,Shared Self-Help Article,19.19,1,1,97.21490899040381,41.29
192,2025-01-02,A1027,Photoshop,In Progress,25.7,1,1,93.84111584730962,24.34
193,2025-01-10,A1026,Photoshop,In Progress,22.49,1,0,94.89386626420809,12.46
194,2025-01-04,A1019,Photoshop,Shared Self-Help Article,15.19,1,0,90.75079363183698,46.43
195,2025-01-09,A1016,InDesign,In Progress,22.29,0,1,97.84016197613106,13.15
196,2025-01-15,A1010,Photoshop,Shared Self-Help Article,23.35,0,0,93.99016110077899,27.57
197,2025-01-23,A1025,Acrobat,In Progress,17.0,0,0,99.10762361432191,43.23
198,2025-01-28,A1012,Premiere Pro,Remote Support,22.19,1,1,96.22408796471387,38.77
199,2025-01-19,A1021,Acrobat,Remote Support,21.71,0,1,92.18084354237534,24.43
200,2025-01-31,A1011,Acrobat,Shared Self-Help Article,15.71,0,0,97.16381337233598,33.84
201,2025-01-11,A1020,InDesign,Remote Support,23.21,0,0,97.59201411399056,11.52
202,2025-01-03,A1000,Photoshop,Remote Support,24.22,0,0,93.6794930299805,29.89
203,2025-01-20,A1025,InDesign,Shared Self-Help Article,26.84,1,1,95.01048037429358,48.29
204,2025-01-22,A1017,Illustrator,Remote Support,26.69,0,0,93.88460570810454,49.26
205,2025-01-21,A1025,Acrobat,Shared Self-Help Article,14.53,1,0,90.04530341953236,28.16
206,2025-01-18,A1010,Acrobat,Remote Support,16.73,0,1,97.51145083674068,46.37
207,2025-01-09,A1011,Photoshop,In Progress,24.0,1,1,93.64195114716064,26.94
208,2025-01-14,A1013,Illustrator,Remote Support,23.99,1,1,99.61316328208588,20.59
209,2025-01-27,A1020,Premiere Pro,Remote Support,24.0,1,1,97.63487588931412,12.66
210,2025-01-23,A1029,Illustrator,In Progress,40.68,0,0,95.11012522601297,24.5
211,2025-01-05,A1005,Illustrator,Remote Support,24.27,1,0,90.21846987901407,42.19
212,2025-01-08,A1009,Acrobat,Shared Self-Help Article,27.1,0,0,99.3422894919471,37.59
213,2025-01-07,A1005,Illustrator,Shared Self-Help Article,26.19,0,0,91.26426838636199,42.08
214,2025-01-29,A1003,Illustrator,Shared Self-Help Article,24.68,0,0,95.7992175804784,23.31
215,2025-01-08,A1020,InDesign,Remote Support,19.84,1,1,93.18172976658077,33.61
216,2025-01-26,A1021,Acrobat,Remote Support,25.21,0,1,98.5586927365068,22.11
217,2025-01-02,A1004,Acrobat,Shared Self-Help Article,17.56,1,1,95.17855336396858,48.67
218,2025-01-26,A1007,Illustrator,In Progress,20.24,0,1,99.5907664509848,48.6
219,2025-01-20,A1003,InDesign,In Progress,18.99,0,0,95.38760771081634,37.08
220,2025-01-16,A1011,Illustrator,Remote Support,21.83,1,0,98.5905542295368,47.84
221,2025-01-20,A1012,Premiere Pro,In Progress,32.99,1,0,95.93859601253321,30.11
222,2025-01-08,A1002,Illustrator,In Progress,12.08,0,0,98.30368758259557,38.09
223,2025-01-27,A1022,Acrobat,In Progress,24.85,1,1,91.9054875545955,45.54
224,2025-01-26,A1025,Premiere Pro,In Progress,13.36,1,0,96.4460200992062,45.52
225,2025-01-09,A1007,Photoshop,Shared Self-Help Article,19.06,1,1,97.2971787426733,12.44
226,2025-01-29,A1005,Photoshop,Remote Support,26.86,1,1,91.04258990141244,42.07
227,2025-01-06,A1004,Premiere Pro,In Progress,21.74,1,1,97.70385334762581,39.67
228,2025-01-23,A1008,Photoshop,Shared Self-Help Article,16.03,1,0,91.1007999768619,38.08
229,2025-01-19,A1016,Illustrator,Remote Support,17.84,0,1,94.56110117014285,47.99
230,2025-01-11,A1007,Illustrator,Remote Support,24.82,1,1,92.14980261143887,20.44
231,2025-01-19,A1013,Premiere Pro,In Progress,17.77,0,0,93.99921360527787,37.27
232,2025-01-11,A1011,Premiere Pro,In Progress,22.5,1,1,91.03234517003041,32.07
233,2025-01-22,A1026,Illustrator,Shared Self-Help Article,21.65,1,0,99.23484782245605,45.23
234,2025-01-20,A1022,Acrobat,In Progress,18.16,0,1,99.41952114375178,36.49
235,2025-01-29,A1021,Acrobat,In Progress,32.14,1,0,98.45529161462568,16.83
236,2025-01-21,A1009,Photoshop,Shared Self-Help Article,24.59,0,0,90.87764209639307,13.05
237,2025-01-14,A1022,Premiere Pro,Shared Self-Help Article,11.29,0,0,91.68189516248042,22.27
238,2025-01-31,A1006,Illustrator,Remote Support,22.35,0,0,97.00614375907446,37.38
239,2025-01-10,A1025,Premiere Pro,Remote Support,18.11,0,1,98.6035367162213,18.52
240,2025-01-06,A1017,Premiere Pro,In Progress,25.68,1,1,91.85292458491703,16.84
241,2025-01-03,A1003,Illustrator,In Progress,17.46,0,0,99.44525639852577,46.73
242,2025-01-20,A1019,Acrobat,In Progress,20.85,1,1,96.6735320900739,20.15
243,2025-01-19,A1007,Illustrator,Remote Support,23.94,1,0,91.73916903897805,37.66
244,2025-01-08,A1021,Photoshop,Shared Self-Help Article,25.75,0,1,99.41134271288291,34.61
245,2025-01-24,A1014,Premiere Pro,In Progress,15.42,0,0,97.89105819849102,33.64
246,2025-01-06,A1016,Photoshop,In Progress,19.75,0,1,94.28726464582515,42.9
247,2025-01-26,A1016,Illustrator,Shared Self-Help Article,19.05,1,1,93.30566785161369,18.56
248,2025-01-05,A1013,Photoshop,Shared Self-Help Article,18.15,0,0,99.39719676243709,26.15
249,2025-01-29,A1000,Premiere Pro,Shared Self-Help Article,30.25,0,0,97.74619918552462,48.61
250,2025-01-31,A1006,Illustrator,Remote Support,23.44,1,1,97.18116650155355,46.96
251,2025-01-20,A1025,Photoshop,In Progress,15.12,0,1,95.58245841613852,29.84
252,2025-01-06,A1022,Premiere Pro,Shared Self-Help Article,26.01,0,0,93.60306952080948,11.59
253,2025-01-28,A1003,Premiere Pro,Remote Support,32.03,1,0,90.66101098727985,35.59
254,2025-01-09,A1011,InDesign,In Progress,26.58,0,1,92.95122813103448,24.05
255,2025-01-17,A1016,Acrobat,In Progress,13.82,1,0,91.12675651129418,41.68
256,2025-01-27,A1022,Photoshop,In Progress,19.0,1,0,90.54571505273582,22.48
257,2025-01-13,A1002,Photoshop,Shared Self-Help Article,27.75,0,0,99.92324169161657,22.31
258,2025-01-07,A1025,Premiere Pro,In Progress,17.88,0,1,93.8440176633749,49.15
259,2025-01-25,A1017,Acrobat,Remote Support,23.64,1,0,97.68884262492796,44.04
260,2025-01-15,A1025,InDesign,Remote Support,25.29,1,1,97.8529817420583,34.62
261,2025-01-02,A1013,Premiere Pro,In Progress,16.79,0,0,98.93163506888433,29.79
262,2025-01-17,A1011,Premiere Pro,Remote Support,21.12,1,1,98.71881676503672,10.93
263,2025-01-24,A1024,Illustrator,In Progress,5.21,0,1,92.03698328163489,42.75
264,2025-01-08,A1006,Illustrator,Shared Self-Help Article,16.3,0,0,96.63029130728945,41.92
265,2025-01-12,A1001,Illustrator,In Progress,20.16,1,1,94.52480464071803,16.47
266,2025-01-12,A1015,Acrobat,Shared Self-Help Article,15.18,0,1,95.75176283841712,15.74
267,2025-01-31,A1007,Acrobat,Shared Self-Help Article,29.58,1,1,91.21448261092537,36.15
268,2025-01-08,A1015,InDesign,Shared Self-Help Article,14.27,1,0,99.04108880341195,33.07
269,2025-01-26,A1016,InDesign,Shared Self-Help Article,19.22,1,1,91.13805109968239,16.05
270,2025-01-28,A1029,Illustrator,In Progress,22.07,0,1,92.64003798730397,32.38
271,2025-01-29,A1028,InDesign,Shared Self-Help Article,28.63,0,0,93.23838059752715,44.79
272,2025-01-29,A1003,Acrobat,Remote Support,14.24,0,0,96.37231233018196,44.3
273,2025-01-05,A1029,InDesign,Remote Support,27.24,0,0,97.21665932113704,43.78
274,2025-01-24,A1016,Photoshop,In Progress,21.47,1,1,95.14289304740431,21.01
275,2025-01-06,A1023,Premiere Pro,In Progress,16.51,1,0,90.11306663403892,38.98
276,2025-01-26,A1002,Photoshop,In Progress,23.73,1,1,94.2390888866115,47.54
277,2025-01-13,A1028,Illustrator,Remote Support,22.42,0,1,93.24790396652615,24.85
278,2025-01-14,A1021,Acrobat,In Progress,18.42,1,1,91.0037205945357,22.72
279,2025-01-26,A1005,InDesign,Shared Self-Help Article,21.77,1,0,99.37244216324834,41.66
280,2025-01-17,A1002,InDesign,Remote Support,19.49,0,1,97.28454513386266,10.33
281,2025-01-10,A1015,Acrobat,Remote Support,21.99,0,1,97.83203338026424,30.27
282,2025-01-09,A1004,Photoshop,Shared Self-Help Article,24.73,0,1,98.58720391166679,28.75
283,2025-01-11,A1016,InDesign,Shared Self-Help Article,29.35,0,1,91.08027133934372,39.89
284,2025-01-03,A1010,Acrobat,Shared Self-Help Article,15.23,1,0,92.73687034757626,43.63
285,2025-01-26,A1025,Premiere Pro,Remote Support,32.09,1,0,98.76386097697305,36.52
286,2025-01-06,A1025,Illustrator,Shared Self-Help Article,11.66,0,1,99.11817570288451,21.99
287,2025-01-31,A1004,InDesign,Shared Self-Help Article,20.66,0,1,94.81670405153749,18.51
288,2025-01-11,A1000,Illustrator,In Progress,24.36,0,1,94.95944781479997,35.27
289,2025-01-28,A1017,Illustrator,In Progress,22.82,0,0,93.4855554407523,18.33
290,2025-01-04,A1008,Photoshop,In Progress,18.31,1,1,93.57590850719632,11.62
291,2025-01-03,A1009,Acrobat,In Progress,20.38,1,1,91.47462404903658,33.02
292,2025-01-13,A1019,Premiere Pro,Shared Self-Help Article,18.95,0,1,94.12890002286855,34.03
293,2025-01-13,A1005,InDesign,In Progress,18.47,1,1,96.90984680864298,24.32
294,2025-01-15,A1014,Photoshop,In Progress,25.67,1,0,92.88354604670945,43.76
295,2025-01-08,A1025,Premiere Pro,Shared Self-Help Article,23.21,1,1,97.8843237363593,25.82
296,2025-01-25,A1010,Illustrator,In Progress,17.96,0,1,96.7400349718336,10.55
297,2025-01-25,A1014,Illustrator,In Progress,25.92,1,1,94.6871291955431,43.12
298,2025-01-31,A1002,Premiere Pro,Shared Self-Help Article,22.96,1,0,90.49005925161843,16.02
