Interaction_ID,Date,Issue_Type,Status,Channel,Rating,CSAT,DSAT
62,2025-01-20,Activation Issue,OK,Phone,4,1,0
63,2025-01-22,How To,OK,Chat,3,0,0
64,2025-01-07,Provisioning Issue,Callback,Chat,4,1,0
65,2025-01-05,Provisioning Issue,Pending_Customer,Chat,1,0,1
66,2025-01-01,Update,OK,Phone,1,0,1
67,2025-01-18,Download/Install,OK,Chat,2,0,1
68,2025-01-30,Provisioning Issue,Received,Phone,3,0,0
69,2025-01-10,Download/Install,Pending_Customer,Chat,5,1,0
70,2025-01-26,How To,Received,Chat,1,0,1
71,2025-01-31,Download/Install,Pending_Agent,Phone,1,0,1
72,2025-01-24,How To,Callback,Chat,3,0,0
73,2025-01-20,Download/Install,Pending_Agent,Phone,3,0,0
74,2025-01-17,Update,Pending_Agent,Phone,1,0,1
75,2025-01-21,Update,Pending_Agent,Phone,1,0,1
76,2025-01-11,Download/Install,Pending_Agent,Phone,4,1,0
77,2025-01-18,Update,OK,Phone,1,0,1
78,2025-01-03,Download/Install,OK,Phone,3,0,0
79,2025-01-19,How To,Callback,Chat,2,0,1
80,2025-01-02,Provisioning Issue,Pending_Agent,Phone,3,0,0
81,2025-01-07,Download/Install,Received,Chat,5,1,0
82,2025-01-29,Update,OK,Phone,2,0,1
83,2025-01-28,Download/Install,Callback,Chat,1,0,1
84,2025-01-06,Provisioning Issue,Pending_Customer,Phone,3,0,0
85,2025-01-06,Activation Issue,Pending_Customer,Phone,4,1,0
86,2025-01-08,Download/Install,Pending_Customer,Chat,3,0,0
87,2025-01-27,Download/Install,Callback,Phone,2,0,1
88,2025-01-13,Provisioning Issue,Pending_Agent,Phone,3,0,0
89,2025-01-12,How To,Pending_Customer,Chat,1,0,1
90,2025-01-04,Provisioning Issue,Callback,Chat,1,0,1
91,2025-01-04,How To,Pending_Customer,Chat,3,0,0
92,2025-01-14,How To,OK,Phone,4,1,0
93,2025-01-29,How To,Callback,Chat,1,0,1
94,2025-01-23,Update,Received,Phone,3,0,0
95,2025-01-14,Activation Issue,Pending_Agent,Chat,1,0,1
96,2025-01-24,Provisioning Issue,OK,Chat,4,1,0
97,2025-01-11,Update,Pending_Agent,Phone,2,0,1
98,2025-01-14,Update,Callback,Chat,4,1,0
99,2025-01-18,Activation Issue,Pending_Agent,Chat,2,0,1
100,2025-01-14,How To,OK,Chat,4,1,0
101,2025-01-15,Update,Callback,Chat,2,0,1
102,2025-01-22,Activation Issue,Pending_Agent,Chat,1,0,1
103,2025-01-27,Download/Install,Pending_Agent,Phone,2,0,1
104,2025-01-05,Activation Issue,Received,Phone,4,1,0
105,2025-01-20,Activation Issue,Pending_Customer,Chat,5,1,0
106,2025-01-07,Update,Pending_Customer,Chat,2,0,1
107,2025-01-05,Activation Issue,Received,Chat,2,0,1
108,2025-01-06,How To,Pending_Customer,Phone,5,1,0
109,2025-01-08,Activation Issue,Pending_Customer,Phone,4,1,0
110,2025-01-22,How To,OK,Chat,4,1,0
111,2025-01-20,How To,Pending_Customer,Chat,2,0,1
112,2025-01-24,Update,Pending_Customer,Chat,2,0,1
113,2025-01-27,Provisioning Issue,OK,Chat,2,0,1
114,2025-01-09,Update,Received,Chat,2,0,1
115,2025-01-09,Provisioning Issue,Pending_Agent,Phone,2,0,1
116,2025-01-05,Download/Install,Pending_Customer,Phone,2,0,1
117,2025-01-03,Update,Pending_Customer,Chat,5,1,0
118,2025-01-15,Update,Received,Phone,4,1,0
119,2025-01-13,How To,Received,Chat,4,1,0
120,2025-01-01,Provisioning Issue,Pending_Agent,Chat,4,1,0
121,2025-01-18,How To,OK,Phone,4,1,0
122,2025-01-08,Provisioning Issue,Pending_Customer,Chat,1,0,1
123,2025-01-13,Provisioning Issue,Pending_Customer,Phone,4,1,0
124,2025-01-30,Download/Install,OK,Phone,4,1,0
125,2025-01-19,How To,Received,Phone,4,1,0
126,2025-01-05,Update,Callback,Phone,3,0,0
127,2025-01-13,Provisioning Issue,Callback,Chat,3,0,0
128,2025-01-11,Update,Pending_Agent,Chat,3,0,0
129,2025-01-27,Activation Issue,Pending_Customer,Phone,5,1,0
130,2025-01-02,Provisioning Issue,Callback,Phone,1,0,1
131,2025-01-25,Activation Issue,Callback,Phone,1,0,1
132,2025-01-20,Download/Install,Callback,Phone,4,1,0
133,2025-01-22,Activation Issue,OK,Phone,4,1,0
134,2025-01-23,Provisioning Issue,Pending_Agent,Phone,5,1,0
135,2025-01-20,Activation Issue,Callback,Chat,1,0,1
136,2025-01-19,Activation Issue,Pending_Agent,Chat,4,1,0
137,2025-01-31,Download/Install,Received,Phone,1,0,1
138,2025-01-23,Provisioning Issue,OK,Phone,5,1,0
139,2025-01-26,Activation Issue,Pending_Agent,Chat,3,0,0
140,2025-01-03,How To,Pending_Agent,Phone,4,1,0
141,2025-01-27,Update,Received,Chat,3,0,0
142,2025-01-21,Update,Callback,Chat,2,0,1
143,2025-01-24,How To,Pending_Agent,Chat,4,1,0
144,2025-01-14,How To,Pending_Agent,Chat,2,0,1
145,2025-01-27,Activation Issue,Pending_Agent,Chat,2,0,1
146,2025-01-25,Update,OK,Chat,3,0,0
147,2025-01-01,Update,Pending_Agent,Phone,4,1,0
148,2025-01-07,Provisioning Issue,Pending_Agent,Chat,3,0,0
149,2025-01-29,How To,Pending_Agent,Phone,5,1,0
150,2025-01-31,Download/Install,Received,Phone,4,1,0
151,2025-01-16,How To,Callback,Chat,4,1,0
152,2025-01-15,Activation Issue,Received,Chat,2,0,1
153,2025-01-13,Download/Install,Pending_Agent,Chat,4,1,0
154,2025-01-18,How To,Pending_Agent,Chat,5,1,0
155,2025-01-11,Provisioning Issue,Pending_Customer,Chat,3,0,0
156,2025-01-09,Download/Install,Received,Phone,3,0,0
157,2025-01-04,How To,Callback,Phone,2,0,1
158,2025-01-24,Update,Pending_Agent,Chat,1,0,1
159,2025-01-27,Download/Install,Pending_Agent,Phone,3,0,0
160,2025-01-06,Provisioning Issue,Received,Phone,3,0,0
161,2025-01-02,Activation Issue,OK,Chat,2,0,1
162,2025-01-21,Update,Received,Phone,5,1,0
163,2025-01-10,Update,Pending_Customer,Chat,3,0,0
164,2025-01-06,Activation Issue,Pending_Agent,Chat,1,0,1
165,2025-01-27,Activation Issue,Pending_Customer,Chat,1,0,1
166,2025-01-19,Activation Issue,Callback,Phone,5,1,0
167,2025-01-31,Provisioning Issue,Received,Phone,1,0,1
168,2025-01-18,Update,OK,Phone,5,1,0
169,2025-01-13,Update,Pending_Customer,Chat,5,1,0
170,2025-01-14,Provisioning Issue,OK,Phone,5,1,0
171,2025-01-31,Activation Issue,Callback,Phone,3,0,0
172,2025-01-22,Activation Issue,Callback,Phone,2,0,1
173,2025-01-18,Activation Issue,Callback,Phone,4,1,0
174,2025-01-15,How To,Pending_Customer,Chat,1,0,1
175,2025-01-08,Provisioning Issue,Pending_Agent,Chat,1,0,1
176,2025-01-22,Download/Install,Pending_Agent,Phone,4,1,0
177,2025-01-04,How To,Callback,Phone,3,0,0
178,2025-01-27,Download/Install,Received,Phone,2,0,1
179,2025-01-26,Provisioning Issue,OK,Chat,4,1,0
180,2025-01-04,Update,Pending_Agent,Chat,3,0,0
181,2025-01-17,How To,Pending_Customer,Chat,1,0,1
182,2025-01-20,Activation Issue,Pending_Customer,Chat,5,1,0
183,2025-01-09,Activation Issue,Received,Phone,5,1,0
184,2025-01-19,Activation Issue,Pending_Agent,Phone,2,0,1
185,2025-01-16,How To,Pending_Customer,Chat,2,0,1
186,2025-01-19,Update,Pending_Customer,Phone,4,1,0
187,2025-01-12,Update,Pending_Agent,Chat,1,0,1
188,2025-01-28,Download/Install,Pending_Agent,Chat,4,1,0
189,2025-01-10,Update,OK,Phone,4,1,0
190,2025-01-03,Provisioning Issue,Pending_Agent,Chat,1,0,1
191,2025-01-25,Update,OK,Phone,5,1,0
192,2025-01-15,Update,Received,Phone,5,1,0
193,2025-01-12,How To,Pending_Customer,Chat,1,0,1
194,2025-01-07,Provisioning Issue,OK,Phone,3,0,0
195,2025-01-15,Update,Received,Phone,5,1,0
196,2025-01-26,Download/Install,Callback,Chat,5,1,0
197,2025-01-01,How To,Pending_Customer,Phone,2,0,1
198,2025-01-27,Activation Issue,Pending_Customer,Phone,2,0,1
199,2025-01-16,Provisioning Issue,OK,Chat,4,1,0
200,2025-01-27,Update,Pending_Customer,Phone,4,1,0
201,2025-01-18,Download/Install,Pending_Customer,Phone,5,1,0
202,2025-01-17,Download/Install,Received,Chat,4,1,0
203,2025-01-11,How To,Pending_Agent,Phone,3,0,0
204,2025-01-24,Provisioning Issue,OK,Chat,2,0,1
205,2025-01-15,How To,Pending_Customer,Chat,3,0,0
206,2025-01-18,How To,Pending_Customer,Chat,3,0,0
207,2025-01-28,Download/Install,Callback,Chat,2,0,1
208,2025-01-28,Update,Received,Chat,4,1,0
209,2025-01-23,Update,Pending_Customer,Phone,4,1,0
210,2025-01-31,Activation Issue,Callback,Chat,1,0,1
211,2025-01-28,Update,Received,Chat,1,0,1
212,2025-01-24,Download/Install,Pending_Customer,Phone,1,0,1
213,2025-01-16,Provisioning Issue,Pending_Agent,Chat,1,0,1
214,2025-01-28,Provisioning Issue,OK,Chat,3,0,0
215,2025-01-21,Update,OK,Phone,5,1,0
216,2025-01-03,Download/Install,Pending_Agent,Phone,1,0,1
217,2025-01-14,Activation Issue,Received,Chat,2,0,1
218,2025-01-23,Provisioning Issue,Received,Phone,3,0,0
219,2025-01-26,Activation Issue,Pending_Agent,Chat,3,0,0
220,2025-01-14,Download/Install,Callback,Chat,5,1,0
221,2025-01-22,Download/Install,Callback,Phone,1,0,1
222,2025-01-20,Update,OK,Phone,4,1,0
223,2025-01-30,How To,Callback,Phone,4,1,0
224,2025-01-21,Provisioning Issue,Pending_Customer,Chat,1,0,1
225,2025-01-29,Update,Pending_Agent,Phone,1,0,1
226,2025-01-15,Provisioning Issue,OK,Chat,4,1,0
227,2025-01-23,Provisioning Issue,Pending_Customer,Chat,2,0,1
228,2025-01-13,Update,Received,Phone,4,1,0
229,2025-01-19,Provisioning Issue,OK,Chat,3,0,0
230,2025-01-01,Update,Pending_Agent,Phone,5,1,0
231,2025-01-28,Activation Issue,OK,Chat,3,0,0
232,2025-01-25,Download/Install,OK,Chat,2,0,1
233,2025-01-21,Download/Install,OK,Chat,2,0,1
234,2025-01-21,Activation Issue,Received,Chat,4,1,0
235,2025-01-02,How To,Pending_Agent,Phone,1,0,1
236,2025-01-30,Provisioning Issue,Pending_Agent,Chat,2,0,1
237,2025-01-07,Download/Install,OK,Chat,5,1,0
238,2025-01-17,Provisioning Issue,Callback,Chat,4,1,0
239,2025-01-31,Provisioning Issue,Pending_Agent,Phone,4,1,0
240,2025-01-31,Activation Issue,Callback,Phone,4,1,0
241,2025-01-31,How To,Pending_Agent,Phone,4,1,0
242,2025-01-01,Provisioning Issue,OK,Phone,4,1,0
243,2025-01-12,Provisioning Issue,OK,Chat,3,0,0
244,2025-01-04,Download/Install,Pending_Customer,Phone,5,1,0
245,2025-01-29,How To,Pending_Agent,Phone,1,0,1
246,2025-01-21,Update,Pending_Agent,Chat,1,0,1
247,2025-01-05,Activation Issue,Received,Chat,4,1,0
248,2025-01-04,Activation Issue,Callback,Phone,4,1,0
249,2025-01-15,Provisioning Issue,OK,Chat,5,1,0
250,2025-01-24,Download/Install,Pending_Customer,Phone,4,1,0
251,2025-01-20,Update,Pending_Agent,Phone,3,0,0
252,2025-01-07,Update,Pending_Customer,Phone,3,0,0
253,2025-01-04,Provisioning Issue,OK,Chat,1,0,1
254,2025-01-13,Provisioning Issue,Callback,Phone,4,1,0
255,2025-01-03,Download/Install,OK,Phone,1,0,1
256,2025-01-26,Provisioning Issue,Callback,Phone,5,1,0
257,2025-01-07,Activation Issue,OK,Phone,5,1,0
258,2025-01-07,Download/Install,Pending_Agent,Phone,5,1,0
259,2025-01-01,Provisioning Issue,Callback,Phone,5,1,0
260,2025-01-09,Download/Install,Received,Phone,2,0,1
261,2025-01-01,Provisioning Issue,Callback,Chat,1,0,1
262,2025-01-06,Provisioning Issue,Received,Phone,4,1,0
263,2025-01-17,Activation Issue,Received,Chat,4,1,0
264,2025-01-25,Provisioning Issue,OK,Phone,4,1,0
265,2025-01-17,Download/Install,OK,Phone,5,1,0
266,2025-01-10,Update,Received,Phone,4,1,0
267,2025-01-28,Update,Pending_Customer,Phone,4,1,0
268,2025-01-23,Update,Received,Phone,3,0,0
269,2025-01-20,Download/Install,Received,Phone,3,0,0
270,2025-01-20,How To,OK,Chat,4,1,0
271,2025-01-20,How To,Pending_Agent,Chat,5,1,0
272,2025-01-20,Update,Received,Phone,5,1,0
273,2025-01-24,Download/Install,Pending_Customer,Chat,2,0,1
274,2025-01-14,Provisioning Issue,Pending_Customer,Chat,4,1,0
275,2025-01-24,Activation Issue,Pending_Agent,Chat,3,0,0
276,2025-01-22,Provisioning Issue,Pending_Agent,Phone,4,1,0
277,2025-01-03,Activation Issue,Received,Phone,4,1,0
278,2025-01-04,Provisioning Issue,Callback,Phone,5,1,0
279,2025-01-31,How To,OK,Chat,1,0,1
280,2025-01-14,Provisioning Issue,Pending_Customer,Phone,3,0,0
281,2025-01-20,Provisioning Issue,Pending_Agent,Phone,5,1,0
282,2025-01-17,Download/Install,Callback,Chat,2,0,1
283,2025-01-28,Activation Issue,Pending_Agent,Chat,1,0,1
284,2025-01-25,Provisioning Issue,OK,Phone,4,1,0
285,2025-01-28,How To,OK,Phone,5,1,0
286,2025-01-30,Provisioning Issue,Received,Phone,3,0,0
287,2025-01-23,Provisioning Issue,Pending_Agent,Chat,1,0,1
288,2025-01-06,Download/Install,OK,Chat,1,0,1
289,2025-01-05,Activation Issue,Received,Phone,4,1,0
290,2025-01-14,Update,Pending_Agent,Phone,3,0,0
291,2025-01-10,Provisioning Issue,OK,Phone,1,0,1
292,2025-01-05,Download/Install,OK,Phone,1,0,1
293,2025-01-09,Update,Pending_Customer,Chat,5,1,0
294,2025-01-15,Update,Pending_Agent,Phone,5,1,0
295,2025-01-04,Provisioning Issue,Pending_Customer,Phone,3,0,0
296,2025-01-22,How To,Pending_Customer,Chat,1,0,1
297,2025-01-08,Update,OK,Phone,1,0,1
298,2025-01-07,Provisioning Issue,Callback,Phone,3,0,0
299,2025-01-10,Provisioning Issue,Received,Phone,4,1,0
300,2025-01-24,Update,Callback,Phone,4,1,0
301,2025-01-18,Download/Install,OK,Chat,1,0,1
302,2025-01-13,Activation Issue,Pending_Customer,Phone,4,1,0
303,2025-01-30,Activation Issue,Pending_Agent,Chat,5,1,0
304,2025-01-13,Update,Pending_Agent,Phone,4,1,0
305,2025-01-01,Provisioning Issue,Callback,Chat,3,0,0
306,2025-01-03,Update,Received,Phone,4,1,0
307,2025-01-19,Update,OK,Phone,4,1,0
308,2025-01-28,Provisioning Issue,Pending_Agent,Phone,3,0,0
309,2025-01-25,Download/Install,Received,Phone,5,1,0
310,2025-01-17,Download/Install,Pending_Agent,Chat,2,0,1
311,2025-01-08,Activation Issue,Callback,Chat,2,0,1
312,2025-01-06,How To,Callback,Phone,2,0,1
313,2025-01-31,Update,Pending_Customer,Chat,5,1,0
314,2025-01-21,How To,Pending_Agent,Chat,2,0,1
315,2025-01-15,Activation Issue,Pending_Customer,Chat,3,0,0
316,2025-01-26,Provisioning Issue,OK,Phone,3,0,0
317,2025-01-17,Activation Issue,Pending_Agent,Chat,4,1,0
318,2025-01-02,Activation Issue,Pending_Agent,Chat,1,0,1
319,2025-01-21,Activation Issue,OK,Chat,4,1,0
320,2025-01-19,How To,Received,Chat,5,1,0
321,2025-01-21,Download/Install,Pending_Agent,Chat,5,1,0
322,2025-01-05,Activation Issue,Pending_Customer,Phone,3,0,0
323,2025-01-23,Activation Issue,OK,Phone,1,0,1
324,2025-01-08,Update,Pending_Customer,Phone,3,0,0
325,2025-01-12,Provisioning Issue,Pending_Customer,Chat,3,0,0
326,2025-01-22,How To,Received,Chat,1,0,1
327,2025-01-11,Activation Issue,OK,Chat,3,0,0
328,2025-01-09,How To,Callback,Chat,1,0,1
329,2025-01-19,Download/Install,Pending_Agent,Chat,4,1,0
330,2025-01-05,How To,Received,Chat,5,1,0
331,2025-01-13,Provisioning Issue,Callback,Phone,4,1,0
332,2025-01-17,Provisioning Issue,Received,Chat,3,0,0
333,2025-01-06,Download/Install,Pending_Agent,Chat,2,0,1
334,2025-01-08,Download/Install,Callback,Phone,3,0,0
335,2025-01-28,Activation Issue,OK,Phone,3,0,0
336,2025-01-29,How To,Callback,Chat,2,0,1
337,2025-01-06,Download/Install,OK,Phone,4,1,0
338,2025-01-02,Update,Pending_Agent,Phone,4,1,0
339,2025-01-20,Provisioning Issue,Pending_Customer,Phone,5,1,0
340,2025-01-08,Provisioning Issue,Pending_Customer,Phone,3,0,0
341,2025-01-22,How To,Pending_Customer,Chat,3,0,0
342,2025-01-25,Update,OK,Chat,2,0,1
343,2025-01-27,Download/Install,OK,Phone,3,0,0
344,2025-01-02,Update,Pending_Agent,Phone,5,1,0
345,2025-01-28,Activation Issue,Pending_Agent,Phone,2,0,1
346,2025-01-09,Update,OK,Phone,4,1,0
347,2025-01-03,Download/Install,Pending_Customer,Chat,1,0,1
348,2025-01-14,Activation Issue,Pending_Customer,Chat,2,0,1
349,2025-01-13,Activation Issue,Pending_Agent,Phone,1,0,1
350,2025-01-11,Activation Issue,Pending_Agent,Phone,2,0,1
351,2025-01-02,Provisioning Issue,Pending_Customer,Phone,4,1,0
352,2025-01-15,How To,Received,Phone,1,0,1
353,2025-01-09,Download/Install,Callback,Chat,1,0,1
354,2025-01-25,Provisioning Issue,Callback,Chat,1,0,1
355,2025-01-02,Download/Install,Pending_Customer,Chat,1,0,1
356,2025-01-04,Update,OK,Phone,5,1,0
357,2025-01-19,Download/Install,Callback,Chat,4,1,0
358,2025-01-01,How To,Pending_Agent,Phone,5,1,0
359,2025-01-14,Download/Install,Received,Chat,1,0,1
360,2025-01-31,How To,OK,Phone,4,1,0
361,2025-01-28,Update,Received,Chat,3,0,0
362,2025-01-09,Activation Issue,Pending_Agent,Phone,3,0,0
363,2025-01-08,Activation Issue,OK,Chat,2,0,1
364,2025-01-02,Provisioning Issue,OK,Chat,2,0,1
365,2025-01-27,Update,Pending_Customer,Phone,2,0,1
366,2025-01-03,Update,Received,Chat,2,0,1
367,2025-01-02,Download/Install,Received,Chat,3,0,0
368,2025-01-17,Update,OK,Chat,3,0,0
369,2025-01-02,Download/Install,Pending_Agent,Chat,1,0,1
370,2025-01-28,Provisioning Issue,Pending_Agent,Phone,3,0,0
371,2025-01-14,Update,Pending_Customer,Chat,3,0,0
372,2025-01-06,Update,Pending_Customer,Chat,5,1,0
373,2025-01-09,Activation Issue,Pending_Customer,Phone,4,1,0
374,2025-01-20,Download/Install,OK,Chat,3,0,0
375,2025-01-04,Activation Issue,Pending_Agent,Chat,3,0,0
376,2025-01-15,How To,Pending_Customer,Phone,4,1,0
377,2025-01-12,Update,Received,Chat,5,1,0
378,2025-01-14,Provisioning Issue,Received,Phone,4,1,0
379,2025-01-12,How To,Callback,Phone,2,0,1
380,2025-01-28,How To,Pending_Customer,Phone,2,0,1
381,2025-01-03,Download/Install,Pending_Agent,Chat,4,1,0
382,2025-01-31,How To,Received,Phone,4,1,0
383,2025-01-31,Provisioning Issue,Pending_Agent,Chat,1,0,1
384,2025-01-19,Download/Install,OK,Chat,4,1,0
385,2025-01-11,Provisioning Issue,Callback,Phone,1,0,1
386,2025-01-24,Download/Install,Pending_Customer,Chat,5,1,0
387,2025-01-04,Provisioning Issue,Pending_Agent,Chat,2,0,1
388,2025-01-20,Provisioning Issue,Pending_Customer,Phone,1,0,1
389,2025-01-05,Activation Issue,Pending_Customer,Phone,4,1,0
390,2025-01-03,Provisioning Issue,Pending_Agent,Phone,5,1,0
391,2025-01-18,Provisioning Issue,Pending_Agent,Phone,2,0,1
392,2025-01-26,Provisioning Issue,OK,Phone,1,0,1
393,2025-01-07,Download/Install,Callback,Chat,1,0,1
394,2025-01-12,How To,OK,Chat,4,1,0
395,2025-01-26,How To,Callback,Phone,1,0,1
396,2025-01-10,Update,Pending_Customer,Chat,4,1,0
397,2025-01-27,How To,Received,Phone,3,0,0
398,2025-01-21,Activation Issue,Pending_Customer,Chat,5,1,0
399,2025-01-12,Download/Install,OK,Phone,2,0,1
400,2025-01-14,How To,Received,Phone,5,1,0
401,2025-01-05,Provisioning Issue,Callback,Phone,3,0,0
402,2025-01-30,Download/Install,Pending_Agent,Chat,1,0,1
403,2025-01-09,Download/Install,OK,Chat,2,0,1
404,2025-01-21,Provisioning Issue,OK,Phone,5,1,0
405,2025-01-21,Download/Install,OK,Phone,2,0,1
406,2025-01-22,How To,OK,Chat,5,1,0
407,2025-01-02,Activation Issue,Received,Phone,5,1,0
408,2025-01-09,Download/Install,OK,Chat,5,1,0
409,2025-01-21,Activation Issue,Pending_Customer,Chat,3,0,0
410,2025-01-16,Download/Install,Pending_Customer,Chat,4,1,0
411,2025-01-03,Activation Issue,Callback,Chat,4,1,0
412,2025-01-16,Update,Callback,Chat,5,1,0
413,2025-01-05,Provisioning Issue,Pending_Agent,Chat,4,1,0
414,2025-01-05,Provisioning Issue,OK,Phone,3,0,0
415,2025-01-08,Update,Received,Chat,4,1,0
416,2025-01-08,Download/Install,Received,Phone,3,0,0
417,2025-01-31,Update,OK,Chat,2,0,1
418,2025-01-31,Download/Install,Pending_Agent,Chat,2,0,1
419,2025-01-25,Download/Install,Pending_Customer,Chat,4,1,0
420,2025-01-29,Provisioning Issue,Pending_Customer,Phone,1,0,1
421,2025-01-31,Update,OK,Chat,2,0,1
422,2025-01-07,How To,Pending_Agent,Phone,1,0,1
423,2025-01-10,Update,OK,Chat,3,0,0
424,2025-01-18,Activation Issue,Received,Chat,2,0,1
425,2025-01-29,Provisioning Issue,Pending_Agent,Chat,3,0,0
426,2025-01-02,Update,Received,Phone,3,0,0
427,2025-01-18,Provisioning Issue,Received,Chat,5,1,0
428,2025-01-15,How To,Pending_Agent,Phone,2,0,1
429,2025-01-04,Update,Pending_Agent,Chat,5,1,0
430,2025-01-31,Provisioning Issue,Callback,Phone,5,1,0
431,2025-01-17,Update,OK,Phone,1,0,1
432,2025-01-02,Download/Install,Pending_Agent,Chat,5,1,0
433,2025-01-15,Download/Install,OK,Phone,3,0,0
434,2025-01-30,How To,Pending_Agent,Phone,4,1,0
435,2025-01-20,Provisioning Issue,OK,Chat,5,1,0
436,2025-01-27,How To,OK,Chat,5,1,0
437,2025-01-10,Update,Received,Chat,3,0,0
438,2025-01-22,Activation Issue,Pending_Customer,Chat,1,0,1
439,2025-01-20,Update,Pending_Agent,Phone,1,0,1
440,2025-01-19,Update,Callback,Chat,2,0,1
441,2025-01-27,Download/Install,Received,Phone,2,0,1
442,2025-01-01,Update,Pending_Agent,Chat,2,0,1
443,2025-01-14,Download/Install,Pending_Customer,Chat,1,0,1
444,2025-01-23,Download/Install,OK,Phone,5,1,0
445,2025-01-11,Update,OK,Chat,3,0,0
446,2025-01-31,Download/Install,Pending_Customer,Chat,5,1,0
447,2025-01-12,Provisioning Issue,OK,Chat,2,0,1
448,2025-01-31,Download/Install,Pending_Agent,Chat,2,0,1
449,2025-01-31,Provisioning Issue,Pending_Agent,Phone,4,1,0
450,2025-01-11,Update,Pending_Agent,Chat,3,0,0
451,2025-01-04,How To,OK,Chat,4,1,0
452,2025-01-27,Provisioning Issue,Callback,Chat,1,0,1
453,2025-01-10,Activation Issue,Pending_Agent,Chat,3,0,0
454,2025-01-24,Update,Callback,Phone,5,1,0
455,2025-01-09,How To,Pending_Agent,Phone,1,0,1
456,2025-01-20,How To,Callback,Phone,1,0,1
457,2025-01-22,How To,Callback,Phone,1,0,1
458,2025-01-04,Update,Pending_Agent,Chat,1,0,1
459,2025-01-22,Download/Install,Received,Phone,4,1,0
460,2025-01-21,Update,Pending_Customer,Phone,3,0,0
461,2025-01-11,Provisioning Issue,Received,Phone,5,1,0
462,2025-01-08,How To,Received,Phone,4,1,0
463,2025-01-29,Download/Install,Received,Chat,4,1,0
